INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
RB2510,D,3016,2025101010:15:00,,9:00-10:15,,rb_f,24.00001,20251010
RB2510,D,3019,2025101015:00:00,,9:00-15:00,,rb_f,21.00001,20251010
WR2510,D,0,2025101010:15:00,,9:00-10:15,,wr_f,0,20251010
WR2510,D,0,2025101015:00:00,,9:00-15:00,,wr_f,0,20251010
HC2510,D,3395,2025101010:15:00,,9:00-10:15,,hc_f,50.00001,20251010
HC2510,D,3398,2025101015:00:00,,9:00-15:00,,hc_f,46.00001,20251010
SS2510,D,12635,2025101010:15:00,,9:00-10:15,,ss_f,135.00001,20251010
SS2510,D,12625,2025101015:00:00,,9:00-15:00,,ss_f,25.00001,20251010
SC2511,D,463.9,2025101010:15:00,,9:00-10:15,,sc_f,-3.99999,20251010
SC2511,D,463.2,2025101015:00:00,,9:00-15:00,,sc_f,-5.49999,20251010
LU2511,D,3321,2025101010:15:00,,9:00-10:15,,lu_f,2.00001,20251010
LU2511,D,3300,2025101015:00:00,,9:00-15:00,,lu_f,-28.99999,20251010
FU2511,D,2878,2025101010:15:00,,9:00-10:15,,fu_f,-57.99999,20251010
FU2511,D,2857,2025101015:00:00,,9:00-15:00,,fu_f,-76.99999,20251010
BU2510,D,3462,2025101010:15:00,,9:00-10:15,,bu_f,-23.99999,20251010
BU2510,D,3471,2025101015:00:00,,9:00-15:00,,bu_f,1.00001,20251010
BR2510,D,11405,2025101010:15:00,,9:00-10:15,,br_f,70.00001,20251010
BR2510,D,11400,2025101015:00:00,,9:00-15:00,,br_f,90.00001,20251010
RU2510,D,0,2025101010:15:00,,9:00-10:15,,ru_f,0,20251010
RU2510,D,0,2025101015:00:00,,9:00-15:00,,ru_f,0,20251010
NR2510,D,12290,2025101010:15:00,,9:00-10:15,,nr_f,0,20251010
NR2510,D,12300,2025101015:00:00,,9:00-15:00,,nr_f,80.00001,20251010
SP2510,D,0,2025101010:15:00,,9:00-10:15,,sp_f,0,20251010
SP2510,D,0,2025101015:00:00,,9:00-15:00,,sp_f,0,20251010
OP2601,D,4226,2025101010:15:00,,9:00-10:15,,op_f,16.00001,20251010
OP2601,D,4222,2025101015:00:00,,9:00-15:00,,op_f,8.00001,20251010
EC2510,D,1126.7,2025101010:15:00,,9:00-10:15,,ec_f,25.20001,20251010
EC2510,D,1125.5,2025101015:00:00,,9:00-15:00,,ec_f,12.90001,20251010
CU2510,D,84940,2025101310:15:00,,9:00-10:15,,cu_f,-1579.99999,20251013
CU2510,D,84860,2025101315:00:00,,9:00-15:00,,cu_f,-1459.99999,20251013
BC2510,D,0,2025101310:15:00,,9:00-10:15,,bc_f,0,20251013
BC2510,D,75030,2025101315:00:00,,9:00-15:00,,bc_f,0,20251013
AL2510,D,20860,2025101310:15:00,,9:00-10:15,,al_f,-194.99999,20251013
AL2510,D,20855,2025101315:00:00,,9:00-15:00,,al_f,-164.99999,20251013
ZN2510,D,22215,2025101310:15:00,,9:00-10:15,,zn_f,-109.99999,20251013
ZN2510,D,22210,2025101315:00:00,,9:00-15:00,,zn_f,-84.99999,20251013
PB2510,D,17115,2025101310:15:00,,9:00-10:15,,pb_f,30.00001,20251013
PB2510,D,17105,2025101315:00:00,,9:00-15:00,,pb_f,30.00001,20251013
NI2510,D,121110,2025101310:15:00,,9:00-10:15,,ni_f,-1949.99999,20251013
NI2510,D,121130,2025101315:00:00,,9:00-15:00,,ni_f,-1469.99999,20251013
SN2510,D,282640,2025101310:15:00,,9:00-10:15,,sn_f,-5389.99999,20251013
SN2510,D,282010,2025101315:00:00,,9:00-15:00,,sn_f,-5929.99999,20251013
AO2510,D,2781,2025101310:15:00,,9:00-10:15,,ao_f,-38.99999,20251013
AO2510,D,2782,2025101315:00:00,,9:00-15:00,,ao_f,-32.99999,20251013
AD2511,D,20320,2025101310:15:00,,9:00-10:15,,ad_f,-209.99999,20251013
AD2511,D,20325,2025101315:00:00,,9:00-15:00,,ad_f,-164.99999,20251013
AU2510,D,919.36,2025101310:15:00,,9:00-10:15,,au_f,14.94001,20251013
AU2510,D,920.98,2025101315:00:00,,9:00-15:00,,au_f,17.84001,20251013
AG2510,D,11240,2025101310:15:00,,9:00-10:15,,ag_f,195.00001,20251013
AG2510,D,11278,2025101315:00:00,,9:00-15:00,,ag_f,235.00001,20251013
RB2510,D,2982,2025101310:15:00,,9:00-10:15,,rb_f,-33.99999,20251013
RB2510,D,2983,2025101315:00:00,,9:00-15:00,,rb_f,-35.99999,20251013
WR2510,D,0,2025101310:15:00,,9:00-10:15,,wr_f,0,20251013
WR2510,D,0,2025101315:00:00,,9:00-15:00,,wr_f,0,20251013
HC2510,D,3410,2025101310:15:00,,9:00-10:15,,hc_f,15.00001,20251013
HC2510,D,3418,2025101315:00:00,,9:00-15:00,,hc_f,20.00001,20251013
SS2510,D,12540,2025101310:15:00,,9:00-10:15,,ss_f,-94.99999,20251013
SS2510,D,12530,2025101315:00:00,,9:00-15:00,,ss_f,-94.99999,20251013
SC2511,D,452.7,2025101310:15:00,,9:00-10:15,,sc_f,-11.19999,20251013
SC2511,D,452.7,2025101315:00:00,,9:00-15:00,,sc_f,-10.49999,20251013
LU2511,D,3213,2025101310:15:00,,9:00-10:15,,lu_f,-107.99999,20251013
LU2511,D,3215,2025101315:00:00,,9:00-15:00,,lu_f,-84.99999,20251013
FU2511,D,2808,2025101310:15:00,,9:00-10:15,,fu_f,-69.99999,20251013
FU2511,D,2793,2025101315:00:00,,9:00-15:00,,fu_f,-63.99999,20251013
BU2510,D,3425,2025101310:15:00,,9:00-10:15,,bu_f,-36.99999,20251013
BU2510,D,3448,2025101315:00:00,,9:00-15:00,,bu_f,-22.99999,20251013
BR2510,D,11085,2025101310:15:00,,9:00-10:15,,br_f,-319.99999,20251013
BR2510,D,10850,2025101315:00:00,,9:00-15:00,,br_f,-549.99999,20251013
RU2510,D,14250,2025101310:15:00,,9:00-10:15,,ru_f,0,20251013
RU2510,D,14165,2025101315:00:00,,9:00-15:00,,ru_f,0,20251013
NR2510,D,11920,2025101310:15:00,,9:00-10:15,,nr_f,-369.99999,20251013
NR2510,D,11920,2025101315:00:00,,9:00-15:00,,nr_f,-379.99999,20251013
SP2510,D,4774,2025101310:15:00,,9:00-10:15,,sp_f,0,20251013
SP2510,D,4772,2025101315:00:00,,9:00-15:00,,sp_f,0,20251013
OP2601,D,4216,2025101310:15:00,,9:00-10:15,,op_f,-9.99999,20251013
OP2601,D,4212,2025101315:00:00,,9:00-15:00,,op_f,-9.99999,20251013
EC2510,D,1135.7,2025101310:15:00,,9:00-10:15,,ec_f,9.00001,20251013
EC2510,D,1133.1,2025101315:00:00,,9:00-15:00,,ec_f,7.60001,20251013
CU2510,D,86200,2025101410:15:00,,9:00-10:15,,cu_f,1260.00001,20251014
CU2510,D,85780,2025101415:00:00,,9:00-15:00,,cu_f,920.00001,20251014
BC2510,D,0,2025101410:15:00,,9:00-10:15,,bc_f,0,20251014
BC2510,D,0,2025101415:00:00,,9:00-15:00,,bc_f,0,20251014
AL2510,D,20925,2025101410:15:00,,9:00-10:15,,al_f,65.00001,20251014
AL2510,D,20900,2025101415:00:00,,9:00-15:00,,al_f,45.00001,20251014
ZN2510,D,22240,2025101410:15:00,,9:00-10:15,,zn_f,25.00001,20251014
ZN2510,D,22205,2025101415:00:00,,9:00-15:00,,zn_f,-4.99999,20251014
PB2510,D,0,2025101410:15:00,,9:00-10:15,,pb_f,0,20251014
PB2510,D,17045,2025101415:00:00,,9:00-15:00,,pb_f,-59.99999,20251014
NI2510,D,120780,2025101410:15:00,,9:00-10:15,,ni_f,-329.99999,20251014
NI2510,D,120520,2025101415:00:00,,9:00-15:00,,ni_f,-609.99999,20251014
SN2510,D,283100,2025101410:15:00,,9:00-10:15,,sn_f,460.00001,20251014
SN2510,D,281340,2025101415:00:00,,9:00-15:00,,sn_f,-669.99999,20251014
AO2510,D,0,2025101410:15:00,,9:00-10:15,,ao_f,0,20251014
AO2510,D,0,2025101415:00:00,,9:00-15:00,,ao_f,0,20251014
AD2511,D,20460,2025101410:15:00,,9:00-10:15,,ad_f,140.00001,20251014
AD2511,D,20360,2025101415:00:00,,9:00-15:00,,ad_f,35.00001,20251014
AU2510,D,944.66,2025101410:15:00,,9:00-10:15,,au_f,25.30001,20251014
AU2510,D,942.4,2025101415:00:00,,9:00-15:00,,au_f,21.42001,20251014
AG2510,D,11886,2025101410:15:00,,9:00-10:15,,ag_f,646.00001,20251014
AG2510,D,11813,2025101415:00:00,,9:00-15:00,,ag_f,535.00001,20251014
RB2510,D,2977,2025101410:15:00,,9:00-10:15,,rb_f,-4.99999,20251014
RB2510,D,2974,2025101415:00:00,,9:00-15:00,,rb_f,-8.99999,20251014
WR2510,D,0,2025101410:15:00,,9:00-10:15,,wr_f,0,20251014
WR2510,D,0,2025101415:00:00,,9:00-15:00,,wr_f,0,20251014
HC2510,D,3442,2025101410:15:00,,9:00-10:15,,hc_f,32.00001,20251014
HC2510,D,3442,2025101415:00:00,,9:00-15:00,,hc_f,24.00001,20251014
SS2510,D,12280,2025101410:15:00,,9:00-10:15,,ss_f,-259.99999,20251014
SS2510,D,12315,2025101415:00:00,,9:00-15:00,,ss_f,-214.99999,20251014
SC2511,D,453,2025101410:15:00,,9:00-10:15,,sc_f,0.30001,20251014
