INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
AG2512,D,11060,2025101015:00:00,,9:00-15:00,,ag_f,-148.99999,20251010
RB2601,D,3102,2025101010:15:00,,9:00-10:15,,rb_f,18.00001,20251010
RB2601,D,3101,2025101015:00:00,,9:00-15:00,,rb_f,14.00001,20251010
WR2601,D,3415,2025101010:15:00,,9:00-10:15,,wr_f,95.00001,20251010
WR2601,D,3416,2025101015:00:00,,9:00-15:00,,wr_f,96.00001,20251010
HC2601,D,3285,2025101010:15:00,,9:00-10:15,,hc_f,15.00001,20251010
HC2601,D,3283,2025101015:00:00,,9:00-15:00,,hc_f,10.00001,20251010
SS2512,D,12850,2025101010:15:00,,9:00-10:15,,ss_f,75.00001,20251010
SS2512,D,12835,2025101015:00:00,,9:00-15:00,,ss_f,15.00001,20251010
SC2511,D,463.9,2025101010:15:00,,9:00-10:15,,sc_f,-3.99999,20251010
SC2511,D,463.2,2025101015:00:00,,9:00-15:00,,sc_f,-5.49999,20251010
LU2512,D,3322,2025101010:15:00,,9:00-10:15,,lu_f,-14.99999,20251010
LU2512,D,3312,2025101015:00:00,,9:00-15:00,,lu_f,-28.99999,20251010
FU2601,D,2798,2025101010:15:00,,9:00-10:15,,fu_f,-8.99999,20251010
FU2601,D,2791,2025101015:00:00,,9:00-15:00,,fu_f,-21.99999,20251010
BU2511,D,3339,2025101010:15:00,,9:00-10:15,,bu_f,-39.99999,20251010
BU2511,D,3335,2025101015:00:00,,9:00-15:00,,bu_f,-40.99999,20251010
BR2512,D,11200,2025101010:15:00,,9:00-10:15,,br_f,-9.99999,20251010
BR2512,D,11180,2025101015:00:00,,9:00-15:00,,br_f,-54.99999,20251010
RU2601,D,15340,2025101010:15:00,,9:00-10:15,,ru_f,70.00001,20251010
RU2601,D,15335,2025101015:00:00,,9:00-15:00,,ru_f,10.00001,20251010
NR2512,D,12390,2025101010:15:00,,9:00-10:15,,nr_f,45.00001,20251010
NR2512,D,12375,2025101015:00:00,,9:00-15:00,,nr_f,-9.99999,20251010
