INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
AL2606,D,21020,2025100910:15:00,20251009,9:00-10:15,20251009,al_f,185.00001,20251009
AL2606,D,21035,2025100915:00:00,20251009,9:00-15:00,20251009,al_f,210.00001,20251009
AL2607,D,21040,2025100910:15:00,20251009,9:00-10:15,20251009,al_f,205.00001,20251009
AL2607,D,21070,2025100915:00:00,20251009,9:00-15:00,20251009,al_f,265.00001,20251009
AL2608,D,21055,2025100910:15:00,20251009,9:00-10:15,20251009,al_f,230.00001,20251009
AL2608,D,21060,2025100915:00:00,20251009,9:00-15:00,20251009,al_f,260.00001,20251009
AL2609,D,21045,2025100910:15:00,20251009,9:00-10:15,20251009,al_f,235.00001,20251009
AL2609,D,21060,2025100915:00:00,20251009,9:00-15:00,20251009,al_f,265.00001,20251009
ZN2510,D,22120,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,200.00001,20251009
ZN2510,D,22170,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,315.00001,20251009
ZN2511,D,22140,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,160.00001,20251009
ZN2511,D,22200,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,300.00001,20251009
ZN2512,D,22155,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,155.00001,20251009
ZN2512,D,22230,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,320.00001,20251009
ZN2601,D,22190,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,155.00001,20251009
ZN2601,D,22240,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,295.00001,20251009
ZN2602,D,22235,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,170.00001,20251009
ZN2602,D,22290,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,315.00001,20251009
ZN2603,D,22275,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,210.00001,20251009
ZN2603,D,22340,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,345.00001,20251009
ZN2604,D,22290,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,170.00001,20251009
ZN2604,D,22375,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,340.00001,20251009
ZN2605,D,22345,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,185.00001,20251009
ZN2605,D,22415,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,330.00001,20251009
ZN2606,D,22380,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,185.00001,20251009
ZN2606,D,22425,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,270.00001,20251009
ZN2607,D,22350,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,0,20251009
ZN2607,D,22460,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,400.00001,20251009
ZN2608,D,22400,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,0,20251009
ZN2608,D,22435,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,320.00001,20251009
ZN2609,D,22455,2025100910:15:00,20251009,9:00-10:15,20251009,zn_f,0,20251009
ZN2609,D,22475,2025100915:00:00,20251009,9:00-15:00,20251009,zn_f,340.00001,20251009
PB2510,D,16910,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,-9.99999,20251009
